dataset,model,run_id,accuracy,precision,recall,f1,roc_auc
ratio,KNN,9,0.7180616740088106,0.745945945945946,0.8903225806451613,0.8117647058823529,0.6991487455197132
ratio,KNN,10,0.748898678414097,0.7606382978723404,0.9225806451612903,0.8338192419825073,0.697983870967742
ratio,RandomForest,1,0.7312775330396476,0.7473684210526316,0.9161290322580645,0.8231884057971014,0.6864247311827958
ratio,RandomForest,2,0.775330396475771,0.782608695652174,0.9290322580645162,0.8495575221238938,0.7450268817204303
ratio,RandomForest,3,0.748898678414097,0.75,0.9483870967741935,0.8376068376068376,0.6385752688172043
ratio,RandomForest,4,0.7577092511013216,0.7525252525252525,0.9612903225806452,0.8441926345609065,0.6719086021505376
ratio,RandomForest,5,0.7577092511013216,0.7747252747252747,0.9096774193548387,0.8367952522255193,0.6938620071684588
ratio,RandomForest,6,0.7312775330396476,0.7473684210526316,0.9161290322580645,0.8231884057971014,0.6326164874551972
ratio,RandomForest,7,0.7665198237885462,0.7628865979381443,0.9548387096774194,0.8481375358166189,0.7127688172043011
ratio,RandomForest,8,0.7577092511013216,0.75,0.967741935483871,0.8450704225352113,0.6067652329749104
ratio,RandomForest,9,0.7400881057268722,0.7474226804123711,0.9354838709677419,0.830945558739255,0.6647849462365593
ratio,RandomForest,10,0.7665198237885462,0.7602040816326531,0.9612903225806452,0.8490028490028491,0.6602598566308243
threshold,LogisticRegression,1,0.73568281938326,0.7411167512690355,0.9419354838709677,0.8295454545454546,0.6029121863799284
threshold,LogisticRegression,2,0.775330396475771,0.7626262626262627,0.9741935483870968,0.8555240793201133,0.711111111111111
threshold,LogisticRegression,3,0.7400881057268722,0.7376237623762376,0.9612903225806452,0.834733893557423,0.6407706093189964
threshold,LogisticRegression,4,0.7400881057268722,0.7352941176470589,0.967741935483871,0.8356545961002786,0.6335125448028674
threshold,LogisticRegression,5,0.7312775330396476,0.7397959183673469,0.9354838709677419,0.8262108262108262,0.6437275985663082
threshold,LogisticRegression,6,0.7400881057268722,0.7307692307692307,0.9806451612903225,0.837465564738292,0.6210573476702508
threshold,LogisticRegression,7,0.7533039647577092,0.751269035532995,0.9548387096774194,0.8409090909090909,0.6497311827956989
threshold,LogisticRegression,8,0.7400881057268722,0.74,0.9548387096774194,0.8338028169014085,0.5705197132616487
threshold,LogisticRegression,9,0.748898678414097,0.745,0.9612903225806452,0.8394366197183099,0.6287634408602151
threshold,LogisticRegression,10,0.7400881057268722,0.7424242424242424,0.9483870967741935,0.8328611898016998,0.6189068100358422
threshold,KNN,1,0.7224669603524229,0.7555555555555555,0.8774193548387097,0.8119402985074626,0.6759408602150537
threshold,KNN,2,0.7665198237885462,0.7897727272727273,0.896774193548387,0.8398791540785498,0.7110663082437276
threshold,KNN,3,0.7400881057268722,0.7553191489361702,0.9161290322580645,0.8279883381924198,0.6642025089605736
threshold,KNN,4,0.7092511013215859,0.7379679144385026,0.8903225806451613,0.8070175438596491,0.5896505376344086
threshold,KNN,5,0.7224669603524229,0.7674418604651163,0.8516129032258064,0.8073394495412844,0.6688620071684588
threshold,KNN,6,0.7797356828193832,0.774869109947644,0.9548387096774194,0.8554913294797688,0.6817652329749103
threshold,KNN,7,0.7400881057268722,0.7666666666666667,0.8903225806451613,0.8238805970149253,0.6812724014336917
threshold,KNN,8,0.748898678414097,0.7722222222222223,0.896774193548387,0.8298507462686567,0.6860663082437276
threshold,KNN,9,0.7136563876651982,0.7419354838709677,0.8903225806451613,0.8093841642228738,0.6706093189964158
threshold,KNN,10,0.7577092511013216,0.7717391304347826,0.9161290322580645,0.8377581120943953,0.6652777777777779
threshold,RandomForest,1,0.7444933920704846,0.7566137566137566,0.9225806451612903,0.8313953488372093,0.6450716845878137
threshold,RandomForest,2,0.801762114537445,0.7956989247311828,0.9548387096774194,0.8680351906158358,0.7392921146953405
threshold,RandomForest,3,0.748898678414097,0.75,0.9483870967741935,0.8376068376068376,0.6481182795698925
threshold,RandomForest,4,0.7665198237885462,0.7628865979381443,0.9548387096774194,0.8481375358166189,0.6706989247311828
threshold,RandomForest,5,0.748898678414097,0.7663043478260869,0.9096774193548387,0.831858407079646,0.682078853046595
threshold,RandomForest,6,0.748898678414097,0.7606382978723404,0.9225806451612903,0.8338192419825073,0.6407258064516129
threshold,RandomForest,7,0.7665198237885462,0.765625,0.9483870967741935,0.8472622478386167,0.6982078853046595
threshold,RandomForest,8,0.762114537444934,0.7563451776649747,0.9612903225806452,0.8465909090909091,0.6458333333333334
threshold,RandomForest,9,0.7400881057268722,0.75,0.9290322580645162,0.829971181556196,0.6340949820788531
threshold,RandomForest,10,0.7665198237885462,0.765625,0.9483870967741935,0.8472622478386167,0.6206989247311828
