dataset,model,run_id,accuracy,precision,recall,f1,roc_auc,best_params
threshold,RandomForest,2,0.7841409691629956,0.7789473684210526,0.9548387096774194,0.8579710144927536,0.7104838709677419,"{'class_weight': None, 'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 200}"
threshold,RandomForest,3,0.7577092511013216,0.7525252525252525,0.9612903225806452,0.8441926345609065,0.6682795698924731,"{'class_weight': None, 'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 50}"
threshold,RandomForest,4,0.7797356828193832,0.7692307692307693,0.967741935483871,0.8571428571428571,0.6903225806451614,"{'class_weight': None, 'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 50}"
threshold,RandomForest,5,0.762114537444934,0.7790055248618785,0.9096774193548387,0.8392857142857143,0.7015232974910395,"{'class_weight': 'balanced_subsample', 'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 200}"
threshold,RandomForest,6,0.775330396475771,0.7736842105263158,0.9483870967741935,0.8521739130434782,0.6361111111111111,"{'class_weight': 'balanced_subsample', 'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 50}"
threshold,RandomForest,7,0.775330396475771,0.7680412371134021,0.9612903225806452,0.8538681948424068,0.6908602150537634,"{'class_weight': None, 'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 50}"
threshold,RandomForest,8,0.762114537444934,0.7537688442211056,0.967741935483871,0.847457627118644,0.6017025089605734,"{'class_weight': 'balanced', 'max_depth': 20, 'min_samples_split': 2, 'n_estimators': 200}"
threshold,RandomForest,9,0.7400881057268722,0.75,0.9290322580645162,0.829971181556196,0.6340949820788531,"{'class_weight': None, 'max_depth': None, 'min_samples_split': 2, 'n_estimators': 100}"
threshold,RandomForest,10,0.7665198237885462,0.7628865979381443,0.9548387096774194,0.8481375358166189,0.6421146953405017,"{'class_weight': None, 'max_depth': 20, 'min_samples_split': 5, 'n_estimators': 200}"
statistical,LogisticRegression,1,0.7224669603524229,0.7277227722772277,0.9483870967741935,0.8235294117647058,0.5855286738351255,"{'C': 0.01, 'class_weight': None, 'solver': 'liblinear'}"
statistical,LogisticRegression,2,0.762114537444934,0.7537688442211056,0.967741935483871,0.847457627118644,0.7055555555555556,"{'C': 0.01, 'class_weight': None, 'solver': 'liblinear'}"
statistical,LogisticRegression,3,0.7533039647577092,0.7438423645320197,0.9741935483870968,0.8435754189944135,0.6396953405017921,"{'C': 0.01, 'class_weight': None, 'solver': 'liblinear'}"
statistical,LogisticRegression,4,0.7400881057268722,0.7352941176470589,0.967741935483871,0.8356545961002786,0.628853046594982,"{'C': 0.01, 'class_weight': None, 'solver': 'liblinear'}"
statistical,LogisticRegression,5,0.7444933920704846,0.7461928934010152,0.9483870967741935,0.8352272727272727,0.6366487455197133,"{'C': 0.01, 'class_weight': None, 'solver': 'liblinear'}"
statistical,LogisticRegression,6,0.7533039647577092,0.7368421052631579,0.9935483870967742,0.8461538461538461,0.6258960573476703,"{'C': 0.01, 'class_weight': None, 'solver': 'lbfgs'}"
statistical,LogisticRegression,7,0.7444933920704846,0.7365853658536585,0.9741935483870968,0.8388888888888889,0.671236559139785,"{'C': 0.01, 'class_weight': None, 'solver': 'liblinear'}"
statistical,LogisticRegression,8,0.7400881057268722,0.74,0.9548387096774194,0.8338028169014085,0.5878136200716846,"{'C': 0.01, 'class_weight': None, 'solver': 'liblinear'}"
